vid,name
张氏家庭,张氏家庭
头顶坩埚,头顶坩埚
韦斯莱家族,韦斯莱家族
普林斯家庭,普林斯家庭
韦斯莱魔法把戏坊,韦斯莱魔法把戏坊
莱弗斯基家庭,莱弗斯基家庭
国际巫师联合会,国际巫师联合会
长角水蛇学院,长角水蛇学院
骑士公共汽车,骑士公共汽车
奥勒敦家族,奥勒敦家族
赫奇帕奇学院,赫奇帕奇学院
格杰恩家庭,格杰恩家庭
魔法部,魔法部
弗林特家族,弗林特家族
梅林爵士团勋章,梅林爵士团勋章
福吉家庭,福吉家庭
赫奇帕奇魁地奇球队,赫奇帕奇魁地奇球队
蒙太家庭,蒙太家庭
变形学系,变形学系
斯梅廷中学,斯梅廷中学
伍氏孤儿院,伍氏孤儿院
甘普家族,甘普家族
凤凰社,凤凰社
海格家庭,海格家庭
美国参议院,美国参议院
天主教堂,天主教堂
普威特家庭,普威特家庭
格朗宁公司,格朗宁公司
巴瑞波恩家族,巴瑞波恩家族
福洛林·福斯科冰淇淋店,福洛林·福斯科冰淇淋店
魔法法律委员会,魔法法律委员会
哈利·波特,哈利·波特
猪头酒吧,猪头酒吧
胡珀家庭,胡珀家庭
波特里狂人队,波特里狂人队
博克家族,博克家族
巴格曼家庭,巴格曼家庭
史密斯家族,史密斯家族
莉莉·伊万斯,莉莉·伊万斯
麦金农家庭,麦金农家庭
波宾家庭,波宾家庭
魔法法律执行部,魔法法律执行部
伊万斯家庭,伊万斯家庭
亚瑟王,亚瑟王
巫师议会,巫师议会
霍利黑德哈比队,霍利黑德哈比队
沃伦家庭,沃伦家庭
梅林爵士团,梅林爵士团
蜂蜜公爵,蜂蜜公爵
洛丽丝夫人,洛丽丝夫人
傲罗办公室,傲罗办公室
他的同伙,他的同伙
隆巴顿家族,隆巴顿家族
挪威魁地奇国家队,挪威魁地奇国家队
斯莱特林家族,斯莱特林家族
皮奎利家族,皮奎利家族
卡特莫尔家庭,卡特莫尔家庭
巨人群落,巨人群落
霍布德家庭,霍布德家庭
德拉科·马尔福一伙人,德拉科·马尔福一伙人
戈德斯坦家族,戈德斯坦家族
卡德隆-布特家族,卡德隆-布特家族
科特迪瓦魁地奇国家队,科特迪瓦魁地奇国家队
S.P.E.W.,S.P.E.W.
巴西魁地奇国家队,巴西魁地奇国家队
唐克斯家庭,唐克斯家庭
佩弗利尔家族,佩弗利尔家族
波特瞭望站,波特瞭望站
英格兰魁地奇代表队,英格兰魁地奇代表队
女巫追捕小分队,女巫追捕小分队
法尔茅斯猎鹰队,法尔茅斯猎鹰队
保加利亚魁地奇国家队,保加利亚魁地奇国家队
黑魔法防御联盟,黑魔法防御联盟
赫奇帕奇家族,赫奇帕奇家族
塞耶家族,塞耶家族
妖精,妖精
德思礼家庭,德思礼家庭
斯图尔特家族,斯图尔特家族
巫师考试管理局,巫师考试管理局
新西兰魁地奇国家队,新西兰魁地奇国家队
格雷维斯家族,格雷维斯家族
